,CASRN,Synonym,id,Dup_Name_Flag
40389,85-71-2,4-09-00-03256 (Beilstein Handbook Reference),,True
40524,85-79-0,Nupercainal,,True
40529,85-79-0,Sovcaine,,True
40688,85-84-7,Oil Yellow AB,,True
40690,85-84-7,Oil Yellow AB (VAN),,True
40756,85-86-9,Oil Scarlet,,True
41084,86-24-8,Rigidyl,,True
41454,86-57-7,Nitrol,,True
41446,86-57-7,4-07-00-01638 (Beilstein Handbook Reference),,True
42628,87-62-7,o-Xylidine,,True
42784,87-82-1,HBB,,True
42854,87-86-5,Penta,,True
43612,88-67-5,4-27-00-07537 (Beilstein Handbook Reference),,True
43799,88-85-7,Butaphen,,True
43806,88-85-7,Chemox PE,,True
44055,89-19-0,4-09-00-03186 (Beilstein Handbook Reference),,True
44510,89-69-0,4-05-00-00728 (Beilstein Handbook Reference),,True
45484,90-49-3,Phenylethylacetylurea,,True
45503,90-51-7,4-14-00-02823 (Beilstein Handbook Reference),,True
46262,91-44-1,5-18-11-00445 (Beilstein Handbook Reference),,True
46302,91-48-5,cis-alpha-Phenylcinnamic acid,,True
46366,91-53-2,Santoquin,,True
46743,91-80-5,Sleepwell,,True
46779,91-81-6,PBZ,,True
46939,91-94-1,4-13-00-00384 (Beilstein Handbook Reference),,True
47926,92-82-0,Phenazine,,True
47996,92-84-2,Vermitin,,True
48515,93-16-3,Propenylguaiacol,,True
48549,93-18-5,Nerolin,,True
48897,93-54-9,Unichol,,True
48877,93-54-9,Fenicol,,True
49826,94-14-4,4-14-00-01130 (Beilstein Handbook Reference),,True
50047,94-25-7,4-14-00-01130 (Beilstein Handbook Reference),,True
50111,94-28-0,4-02-00-01005 (Beilstein Handbook Reference),,True
50616,94-74-6,Methoxone,,True
50746,94-75-7,Weedone,,True
50854,94-80-4,Fernesta,,True
50852,94-80-4,Fence Rider 4T Brush Killer,,True
50812,94-80-4,"2,4-D esters",,True
50853,94-80-4,Fence Rider 6T Brush Killer,,True
50835,94-80-4,Crop Rider 6D-OS Weed Killer,,True
50834,94-80-4,Crop Rider 6D Weed Killer,,True
51460,95-31-8,4-27-00-01866 (Beilstein Handbook Reference),,True
52116,95-76-1,DCA (VAN),,True
52114,95-76-1,DCA,,True
53307,96-64-0,Nerve agent,,True
53501,96-88-8,Isocaine,,True
53732,97-16-5,4-11-00-00034 (Beilstein Handbook Reference),,True
54043,97-39-2,4-12-00-01764 (Beilstein Handbook Reference),,True
54228,97-53-0,4-06-00-06337 (Beilstein Handbook Reference),,True
54278,97-54-1,1-Hydroxy-2-methoxy-4-propenylbenzene,,True
54319,97-56-3,Butter Yellow,,True
54545,97-74-5,TMTM,,True
54650,97-77-8,TATD,,True
54668,97-77-8,Thiosan,,True
54910,97-96-1,4-01-00-03310 (Beilstein Handbook Reference),,True
55565,98-56-6,4-05-00-00815 (Beilstein Handbook Reference),,True
56111,98-92-0,Vitamin B3,,True
56067,98-92-0,Niamide,,True
56265,99-04-7,4-27-00-07537 (Beilstein Handbook Reference),,True
56290,99-06-9,4-27-00-07537 (Beilstein Handbook Reference),,True
56330,99-08-1,"Nitrotoluene, all isomers",,True
56718,99-54-7,4-05-00-00726 (Beilstein Handbook Reference),,True
56865,99-59-2,4-13-00-00896 (Beilstein Handbook Reference),,True
56980,99-66-1,DPA (VAN),,True
57016,99-71-8,4-06-00-03279 (Beilstein Handbook Reference),,True
57388,99-94-5,4-27-00-07537 (Beilstein Handbook Reference),,True
58373,100-57-2,4-16-00-01720 (Beilstein Handbook Reference),,True
58907,100-97-0,Hexa,,True
58905,100-97-0,HA,,True
58868,100-97-0,Hexasan,,True
59343,101-27-9,4-12-00-01149 (Beilstein Handbook Reference),,True
59943,101-76-8,DDM,,True
60143,101-87-1,4-13-00-00116 (Beilstein Handbook Reference),,True
60619,102-32-9,4-10-00-01509 (Beilstein Handbook Reference),,True
60919,102-77-2,N-Oxydiethyl-2-benzthiazolsulfenamid [Czech],,True
60927,102-77-2,Sulfenax mob [Czech],,True
60933,102-77-2,N-Oxydiethyl-2-benzthiazolsulfenamid,,True
60934,102-77-2,Sulfenax mob,,True
60896,102-77-2,2-Benzothiazolesulfenemorpholide,,True
61158,103-07-1,4-06-00-03380 (Beilstein Handbook Reference),,True
61276,103-17-3,Chlorocid,,True
61613,103-37-7,4-06-00-02266 (Beilstein Handbook Reference),,True
61631,103-38-8,4-06-00-02266 (Beilstein Handbook Reference),,True
61716,103-48-0,4-06-00-03073 (Beilstein Handbook Reference),,True
61740,103-49-1,DBA,,True
61751,103-50-4,BA,,True
61790,103-52-6,Phenethyl 2-methylpropanoate,,True
61779,103-52-6,Benzylcarbinyl 2-methylpropanoate,,True
61776,103-52-6,4-06-00-03073 (Beilstein Handbook Reference),,True
61826,103-59-3,2-06-00-00527 (Beilstein Handbook Reference),,True
62000,103-73-1,Phenetol,,True
62169,103-85-5,PTU,,True
63422,104-62-1,4-06-00-03073 (Beilstein Handbook Reference),,True
63453,104-64-3,4-06-00-03201 (Beilstein Handbook Reference),,True
63549,104-74-5,C 2,,True
64396,105-56-6,4-02-00-01889 (Beilstein Handbook Reference),,True
64426,105-57-7,Acetol,,True
65104,106-19-4,4-02-00-01961 (Beilstein Handbook Reference),,True
65558,106-44-5,RCRA waste number U052,,True
65684,106-48-9,p-Chlorfenol,,True
65672,106-48-9,p-Chlorfenol [Czech],,True
66030,106-73-0,4-02-00-00960 (Beilstein Handbook Reference),,True
66447,106-97-8,LPG,,True
66444,106-97-8,Liquefied petroleum gas,,True
66507,107-01-7,"Butene, all isomers",,True
66544,107-02-8,Slimicide,,True
66511,107-02-8,Acquinite,,True
66993,107-20-0,Chloroaldehyde,,True
67355,107-44-8,Nerve agent,,True
67980,108-01-0,4-11-00-00122 (Beilstein Handbook Reference),,True
68102,108-09-8,DMBA,,True
68144,108-10-1,Hexon,,True
68571,108-39-4,RCRA waste number U052,,True
68558,108-39-4,Gallex,,True
68546,108-39-4,Bacticin,,True
68556,108-39-4,FEMA Number 2337,,True
69676,109-17-1,4-02-00-01531 (Beilstein Handbook Reference),,True
70083,109-61-5,4-03-00-00024 (Beilstein Handbook Reference),,True
70693,109-97-7,Azole,,True
70924,110-15-6,Succinate,,True
70996,110-18-9,TMEDA,,True
71215,110-36-1,4-02-00-01132 (Beilstein Handbook Reference),,True
71288,110-42-9,4-02-00-01044 (Beilstein Handbook Reference),,True
71884,110-80-5,RCRA waste number U359,,True
71883,110-80-5,RCRA waste number U227,,True
72127,110-95-2,4-04-00-01259 (Beilstein Handbook Reference),,True
72138,110-96-3,4-11-00-00122 (Beilstein Handbook Reference),,True
72200,111-00-2,Suxamethonium bromide,,True
72362,111-15-9,4-02-00-00214 (Beilstein Handbook Reference),,True
72781,111-42-2,DEA,,True
73095,111-60-4,4-02-00-01222 (Beilstein Handbook Reference),,True
73300,111-76-2,4-01-00-02380 (Beilstein Handbook Reference),,True
73613,111-92-2,4-11-00-00122 (Beilstein Handbook Reference),,True
73667,111-96-6,4-01-00-02393 (Beilstein Handbook Reference),,True
73873,112-07-2,4-02-00-00215 (Beilstein Handbook Reference),,True
74009,112-18-5,DDA,,True
74245,112-32-3,4-02-00-00031 (Beilstein Handbook Reference),,True
74314,112-36-7,4-01-00-02394 (Beilstein Handbook Reference),,True
74460,112-44-7,4-01-00-03374 (Beilstein Handbook Reference),,True
74531,112-49-2,4-01-00-02401 (Beilstein Handbook Reference),,True
74549,112-50-5,4-01-00-02401 (Beilstein Handbook Reference),,True
75522,113-52-0,Tofranil,,True
75519,113-52-0,Pryleugan,,True
75514,113-52-0,Melipramine,,True
75512,113-52-0,Janimine,,True
75604,113-69-9,Promecon,,True
75602,113-69-9,Emete-Con,,True
76299,115-11-7,"Butene, all isomers",,True
76725,115-38-8,Isonal,,True
76772,115-39-9,Tetrabromophenolsulfophthalein,,True
76888,115-61-7,Provitamin D,,True
76979,115-76-4,DEP (VAN),,True
77120,115-86-6,TPP,,True
77119,115-86-6,TP (VAN),,True
77361,116-09-6,Acetol (VAN),,True
77401,116-14-3,TFE,,True
77946,116-85-8,4-14-00-00891 (Beilstein Handbook Reference),,True
78158,117-18-0,Terraclor,,True
78122,117-18-0,4-05-00-00728 (Beilstein Handbook Reference),,True
78128,117-18-0,Bygran,,True
78135,117-18-0,Folosan,,True
78197,117-27-1,DNP,,True
78314,117-52-2,Kumatox,,True
78593,117-84-0,PX-138,,True
78570,117-84-0,Dioctyl phthalate,,True
78579,117-84-0,Celluflex DOP,,True
79224,118-90-1,4-27-00-07537 (Beilstein Handbook Reference),,True
79252,118-92-3,4-27-00-07875 (Beilstein Handbook Reference),,True
79372,119-07-3,4-09-00-03186 (Beilstein Handbook Reference),,True
79526,119-30-2,4-27-00-07537 (Beilstein Handbook Reference),,True
79895,119-59-5,4-13-00-01306 (Beilstein Handbook Reference),,True
79954,119-64-2,Bacticin,,True
80642,120-39-8,4-06-00-00975 (Beilstein Handbook Reference),,True
81276,120-82-1,4-05-00-00664 (Beilstein Handbook Reference),,True
81441,121-00-6,4-06-00-06013 (Beilstein Handbook Reference),,True
81644,121-30-2,Salamid,,True
81650,121-32-4,4-08-00-01765 (Beilstein Handbook Reference),,True
81712,121-34-6,4-10-00-01459 (Beilstein Handbook Reference),,True
81782,121-44-8,TEA,,True
82265,121-75-5,UN 2783,,True
82250,121-75-5,NSC 6524,,True
82408,121-88-0,4-13-00-00903 (Beilstein Handbook Reference),,True
82466,121-92-6,4-27-00-07875 (Beilstein Handbook Reference),,True
82496,121-98-2,4-10-00-00360 (Beilstein Handbook Reference),,True
82588,122-09-8,4-12-00-02820 (Beilstein Handbook Reference),,True
83144,122-37-2,4-13-00-01052 (Beilstein Handbook Reference),,True
83180,122-39-4,DPA (VAN),,True
83240,122-42-9,Beet-Kleen,,True
83247,122-42-9,EPA Pesticide Chemical Code 047601,,True
83582,122-66-7,Hydrazobenzene,,True
83631,122-72-5,4-06-00-03201 (Beilstein Handbook Reference),,True
83659,122-74-7,4-06-00-03201 (Beilstein Handbook Reference),,True
83704,122-79-2,o-Acetylphenol,,True
83804,122-87-2,Glycin,,True
84164,123-09-1,4-06-00-01581 (Beilstein Handbook Reference),,True
84240,123-19-3,GBL,,True
84283,123-25-1,Clorius (VAN),,True
84356,123-30-8,Activol,,True
84468,123-33-1,Chemform,,True
84892,123-66-0,4-02-00-00921 (Beilstein Handbook Reference),,True
84932,123-69-3,Musk ambrette,,True
84983,123-73-9,RCRA waste number U053,,True
85112,123-79-5,Octyl adipate (VAN),,True
85111,123-79-5,Octyl adipate,,True
85108,123-79-5,"Hexanedioic acid, dioctyl ester",,True
85103,123-79-5,Bis(2-ethylhexyl) hexanedioate,,True
85101,123-79-5,Adimoll DO,,True
85105,123-79-5,Dioctyl adipate,,True
85345,123-95-5,4-02-00-01219 (Beilstein Handbook Reference),,True
85625,124-16-3,4-01-00-02473 (Beilstein Handbook Reference),,True
85638,124-17-4,3-02-00-00308 (Beilstein Handbook Reference),,True
85757,124-26-5,4-02-00-01240 (Beilstein Handbook Reference),,True
86046,124-65-2,Rad-E-Cate 35,,True
86066,124-68-5,AMP,,True
86114,124-73-2,4-01-00-00160 (Beilstein Handbook Reference),,True
86215,124-88-9,Urotrast,,True
86249,124-90-3,Roxicodone,,True
86228,124-90-3,Eubine,,True
86282,124-94-7,Polcortolon,,True
86264,124-94-7,Aristocort,,True
86281,124-94-7,Orion,,True
86276,124-94-7,Kenacort,,True
86361,125-02-0,Orapred ODT,,True
86360,125-02-0,Orapred,,True
86347,125-02-0,Pediapred,,True
86426,125-10-0,Ferrosan,,True
86634,125-40-6,Butobarbitone,,True
86994,125-99-5,Propethonum,,True
87012,126-00-1,DPA (VAN),,True
87478,126-52-3,Valamina,,True
87597,126-72-7,Tris,,True
87629,126-73-8,TBP,,True
87738,126-85-2,4-04-00-00446 (Beilstein Handbook Reference),,True
87780,126-91-0,p-Linalool,,True
88057,127-18-4,PCE,,True
88117,127-19-5,DMA,,True
88282,127-33-3,Ledermycin,,True
88259,127-33-3,Bioterciclin,,True
88262,127-33-3,Clortetrin,,True
88359,127-47-9,4-06-00-04135 (Beilstein Handbook Reference),,True
88421,127-48-0,Trioxanona,,True
88476,127-52-6,Chlordetal,,True
88678,127-69-5,Gantrisin,,True
88956,127-91-3,Monoterpenes,,True
88982,127-96-8,Potassium quadroxalate,,True
88980,127-96-8,Sal acetosella,,True
89379,128-44-9,Sykose,,True
89358,128-44-9,Saxin,,True
89426,128-53-0,NEM,,True
89537,128-59-6,4-08-00-03338 (Beilstein Handbook Reference),,True
90012,129-06-6,Coumadin,,True
89987,129-06-6,Panwarfin,,True
89988,129-06-6,Prothromadin,,True
90358,129-43-1,4-08-00-02586 (Beilstein Handbook Reference),,True
90444,129-50-0,Basergin,,True
90442,129-50-0,Neofemergen,,True
90604,129-71-5,Trihistan,,True
90933,130-24-5,2-Methyl-4-amino-1-naphthol,,True
90930,130-24-5,4-Amino-2-methyl-1-naphthol,,True
91191,130-80-3,Synestrol,,True
91198,130-80-3,Sinestrol,,True
91252,130-89-2,Quinine HCl,,True
91258,130-90-5,Quinoform,,True
91349,131-08-8,"1-Anthracenesulfonic acid, 9,10-dihydro-9,10-dioxo-, sodium salt",,True
91382,131-11-3,DMP,,True
91454,131-15-7,Dicapryl phthalate,,True
91448,131-15-7,4-09-00-03181 (Beilstein Handbook Reference),,True
91646,131-55-5,4-08-00-03505 (Beilstein Handbook Reference),,True
91691,131-57-7,4-08-00-02442 (Beilstein Handbook Reference),,True
91796,131-70-4,4-09-00-03175 (Beilstein Handbook Reference),,True
91825,131-73-7,Hexamine,,True
92067,132-19-4,191C49,,True
92094,132-20-7,Trimeton,,True
92134,132-22-9,Polaronil,,True
92188,132-27-4,Topane,,True
92151,132-27-4,Dowicide A,,True
92443,132-66-1,PA,,True
92452,132-67-2,Alanap,,True
92494,132-69-4,Multum,,True
92507,132-73-0,Nivaquine,,True
92506,132-73-0,Melubrin,,True
92556,132-89-8,Oxal,,True
92591,132-93-4,Alpen,,True
92651,132-98-9,Beromycin,,True
92666,132-98-9,Fenoxypen,,True
93302,133-91-5,4-27-00-07537 (Beilstein Handbook Reference),,True
93342,134-03-2,Natrascorb,,True
93380,134-20-3,4-14-00-01008 (Beilstein Handbook Reference),,True
93585,134-50-9,Monacrin,,True
93614,134-58-7,Pathocidin,,True
93730,134-80-5,Dobesin,,True
93726,134-80-5,Tepanil,,True
93788,134-90-7,Dextromycetin,,True
93871,135-07-9,Naturon,,True
94075,135-23-9,Pyrathyn,,True
94071,135-23-9,Lullamin,,True
94468,135-88-6,Antioxidant D,,True
94506,135-92-2,G 4,,True
94517,135-97-7,5-21-01-00219 (Beilstein Handbook Reference),,True
94521,135-97-7,NSC 43871,,True
94647,136-30-1,Vulcacure,,True
94694,136-36-7,4-09-00-00372 (Beilstein Handbook Reference),,True
94735,136-40-3,Pyridiate,,True
94825,136-47-0,Dicaine,,True
94829,136-47-0,Niphanoid,,True
94826,136-47-0,Dikain,,True
94986,136-79-8,4-13-00-00896 (Beilstein Handbook Reference),,True
95460,137-26-8,Thioscabin,,True
95459,137-26-8,Thiosan,,True
95461,137-26-8,Thiotox,,True
95860,137-58-6,Solarcaine,,True
95931,137-86-0,TATD,,True
96248,138-85-2,PCMB,,True
96335,138-89-6,NDMA,,True
96413,139-05-9,Natreen,,True
96685,139-33-3,Sodium ethylenediaminetetraacetate,,True
96783,139-45-7,Kodaflex tripropionin,,True
96825,139-62-8,Cyclocaine,,True
96837,139-65-1,4-13-00-01306 (Beilstein Handbook Reference),,True
97267,140-22-7,DPC (VAN),,True
97308,140-27-2,2-06-00-00527 (Beilstein Handbook Reference),,True
97400,140-39-6,4-Methylbenzoic acid methyl ester,,True
97805,140-72-7,Fixanol C,,True
97878,140-87-4,Benecid,,True
98051,140-95-4,DMU,,True
98125,141-02-6,DOF,,True
98293,141-16-2,Rhodinyl butyrate,,True
98409,141-25-3,Rhodinol,,True
98421,141-27-5,FEMA No. 2303,,True
98763,141-79-7,MIBK,,True
98830,141-86-6,DAP,,True
99032,142-16-5,4-02-00-02211 (Beilstein Handbook Reference),,True
99328,142-59-6,Parzate,,True
99419,142-68-7,Oxane,,True
99532,142-78-9,Amisol LDE,,True
99600,142-84-7,4-11-00-00122 (Beilstein Handbook Reference),,True
99628,142-88-1,Entacyl,,True
99647,142-90-5,4-02-00-01529 (Beilstein Handbook Reference),,True
99941,143-24-8,4-01-00-02404 (Beilstein Handbook Reference),,True
99964,143-27-1,4-04-00-00818 (Beilstein Handbook Reference),,True
100058,143-33-9,4-02-00-00050 (Beilstein Handbook Reference),,True
100278,143-81-7,Paxital,,True
100292,143-81-7,Butabarb,,True
100262,143-81-7,Buticaps,,True
100441,144-14-9,Apodol,,True
100501,144-21-8,DMA,,True
100560,144-29-6,Arpezine,,True
100610,144-33-2,Sodium citrate,,True
101188,145-63-1,Naganol,,True
101193,145-63-1,NSC 34936,,True
101215,145-73-3,Herbicide 273,,True
101225,145-73-3,RCRA waste number P088,,True
101360,146-22-5,Atempol,,True
101717,147-20-6,Histryl,,True
101719,147-20-6,Lyssipoll,,True
101716,147-20-6,Hispril,,True
101788,147-24-0,Alledryl,,True
101790,147-24-0,Bagodryl,,True
101906,147-71-7,L-Tartaric acid,,True
102071,147-94-4,Iretin,,True
102019,147-94-4,Alexan,,True
102518,149-16-6,4-14-00-01142 (Beilstein Handbook Reference),,True
102535,149-17-7,Ftivazide,,True
102539,149-17-7,Phthivazide,,True
102558,149-26-8,Disul,,True
102557,149-26-8,Sesone,,True
102905,150-13-0,4-27-00-07875 (Beilstein Handbook Reference),,True
103055,150-39-0,Versenol,,True
103056,150-39-0,Versenol 120,,True
103028,150-39-0,4-04-00-02449 (Beilstein Handbook Reference),,True
103095,150-50-5,Folex,,True
103090,150-50-5,Chemagro B-1776,,True
103170,150-68-5,4-12-00-01191 (Beilstein Handbook Reference),,True
103482,151-06-4,Chlorophen,,True
103457,151-06-4,Avicol,,True
103755,151-50-8,4-02-00-00050 (Beilstein Handbook Reference),,True
104043,152-11-4,NSC 135784,,True
104042,152-11-4,HSDB 3928,,True
103943,152-11-4,Finoptin,,True
103990,152-11-4,Lekoptin,,True
103987,152-11-4,Isoptine,,True
103975,152-11-4,Falicard,,True
104456,153-61-7,Cefalothin,,True
104737,154-69-8,PBZ,,True
104767,154-86-9,Phenylephrine hydrochloride,,True
104773,154-87-0,Cocarboxylase,,True
105197,156-51-4,Phenodyne,,True
105207,156-51-4,Stinerval,,True
105182,156-51-4,Nardelzine,,True
105183,156-51-4,Nardil,,True
105272,156-57-0,Cystaran,,True
105587,191-30-0,4-05-00-02803 (Beilstein Handbook Reference),,True
105631,192-65-4,4-05-00-02803 (Beilstein Handbook Reference),,True
105655,192-97-2,"1,2-Benzpyrene",,True
105656,192-97-2,"4,5-Benzpyrene",,True
105666,193-39-5,4-05-00-02765 (Beilstein Handbook Reference),,True
105932,207-08-9,4-05-00-02686 (Beilstein Handbook Reference),,True
105950,207-84-1,5-20-08-00621 (Beilstein Handbook Reference),,True
105971,213-46-7,4-05-00-02724 (Beilstein Handbook Reference),,True
106005,215-58-7,4-05-00-02724 (Beilstein Handbook Reference),,True
106120,224-53-3,"1,2,7,8-Dibenzacridine",,True
106113,224-53-3,5-20-08-00656 (Beilstein Handbook Reference),,True
106140,225-51-4,5-20-08-00519 (Beilstein Handbook Reference),,True
106287,239-60-1,4-05-00-02692 (Beilstein Handbook Reference),,True
106292,239-64-5,5-20-08-00621 (Beilstein Handbook Reference),,True
107171,298-00-0,Metron,,True
107377,298-07-7,4-01-00-01786 (Beilstein Handbook Reference),,True
107552,298-57-7,Cerepar,,True
107582,298-59-9,Daytrana,,True
107686,298-95-3,TP,,True
107879,299-42-3,NCI-C55652,,True
108291,300-42-5,Obesin,,True
108404,300-62-9,Raphetamine,,True
108409,300-62-9,Sympatedrine,,True
108408,300-62-9,Sympamine,,True
108410,300-62-9,Weckamine,,True
108406,300-62-9,Simpatedrin,,True
108405,300-62-9,Rhinalator,,True
108400,300-62-9,Propisamine,,True
108402,300-62-9,Psychedrine,,True
108415,300-62-9,Obesine,,True
108414,300-62-9,Obesin,,True
108412,300-62-9,Benzedrine,,True
108533,301-00-8,FEMA No. 3411,,True
108832,302-22-7,CAP (ambiguous),,True
108964,302-40-9,Diazil,,True
108959,302-40-9,Benactyzin,,True
109084,302-70-5,NSC-10107,,True
109088,302-70-5,N-Oxyd-lost,,True
109079,302-70-5,Nitrogen mustard N-oxide,,True
109167,302-79-4,Avita,,True
109191,302-84-1,Serine,,True
109236,302-95-4,ATX-101,,True
109235,302-95-4,ATX 101,,True
109278,303-14-0,Isophenergan,,True
109294,303-25-3,Valoid,,True
109349,303-38-8,Pyrocatechuic acid,,True
109465,303-54-8,5-20-08-00247 (Beilstein Handbook Reference),,True
109652,304-20-1,Praparat 5968,,True
109710,304-55-2,DMS,,True
110061,306-12-7,NSC 135784,,True
110095,306-21-8,Paredrine,,True
110203,306-52-5,TCEP,,True
110185,306-52-5,Trichlorethyl phosphate,,True
110432,309-43-3,Seotal,,True
110410,309-43-3,Barbosec,,True
110416,309-43-3,Hypotrol,,True
110422,309-43-3,Pramil,,True
110732,314-19-2,Apokyn,,True
110725,314-19-2,Uprima,,True
110832,314-42-1,Hyvar,,True
110966,315-30-0,Milurit,,True
110949,315-30-0,Gotax,,True
111039,315-37-7,Primotestone,,True
111268,317-34-0,Somophyllin-DF,,True
111328,317-83-9,Pedinex,,True
111537,319-89-1,THQ (VAN),,True
